22,18,15,18,17,11,19,15,16.875,22,16,9,9,13,20,7,7,12.875,0,7,1,79,40,10,0,4
23,17,20,22,22,15,23,15,19.625,15,22,16,9,9,13,20,7,13.875,0,7,1,79,40,10,0,4
28,19,12,22,17,18,9,18,17.875,15,15,22,16,9,9,13,20,14.875,0,7,1,81,36,9,0,4
26,11,13,21,15,11,15,26,17.25,24,15,15,22,16,9,9,13,15.375,0,7,1,81,36,9,0,4
25,28,14,12,14,22,25,26,20.75,26,24,15,15,22,16,9,9,17,0,7,1,83,33,15,0,4
26,18,22,18,24,17,23,22,21.25,18,26,24,15,15,22,16,9,18.125,0,7,1,83,33,15,0,4
21,22,19,19,28,18,10,13,18.75,18,18,26,24,15,15,22,16,19.25,0,7,1,83,34,9,0,4
17,26,29,16,11,25,17,27,21,24,18,18,26,24,15,15,22,20.25,0,7,1,83,34,9,0,4
27,26,29,24,21,22,18,21,23.5,22,24,18,18,26,24,15,15,20.25,0,7,1,83,34,8,0,4
22,29,31,27,20,15,20,35,24.875,17,22,24,18,18,26,24,15,20.5,0,7,1,83,34,8,0,4
28,36,26,21,20,12,21,30,24.25,26,17,22,24,18,18,26,24,21.875,0,7,0,83,34,9,0,3
25,44,31,26,23,24,24,30,28.375,30,26,17,22,24,18,18,26,22.625,0,7,0,83,34,9,0,3
26,33,42,34,20,19,17,26,27.125,22,30,26,17,22,24,18,18,22.125,0,7,0,81,45,7,0,3
30,25,31,23,11,15,22,25,22.75,24,22,30,26,17,22,24,18,22.875,0,7,0,81,45,7,0,3
16,25,26,21,22,16,12,8,18.25,27,24,22,30,26,17,22,24,24,0,7,0,79,52,12,0,3
17,44,32,27,23,12,18,13,23.25,25,27,24,22,30,26,17,22,24.125,0,7,0,79,52,12,0,3
27,34,22,32,14,15,22,11,22.125,20,25,27,24,22,30,26,17,23.875,0,7,0,76,62,12,0,3
28,33,28,23,16,16,15,17,22,28,20,25,27,24,22,30,26,25.25,0,7,0,76,62,12,0,3
31,35,26,24,28,20,9,27,25,26,28,20,25,27,24,22,30,25.25,0,7,0,77,60,6,0,3
26,21,27,22,33,25,27,30,26.375,19,26,28,20,25,27,24,22,23.875,0,7,0,77,60,6,0,3
